uniprot.id	hla	ligand.len	count
A0A075B6N4	HLA-A0201	9	6
A0A075B6N4	HLA-A1101	9	2
A0A075B6N4	HLA-B0702	9	1
A0A075B6N4	HLA-B2705	9	3
A0A075B6N4	HLA-C0202	9	8
A0A075B6N4	HLA-C1507	9	6
A0A075B6P5	HLA-A0201	9	3
A0A075B6P5	HLA-A1101	9	2
A0A075B6P5	HLA-B0702	9	4
A0A075B6P5	HLA-B2705	9	1
A0A075B6P5	HLA-C0202	9	8
A0A075B6P5	HLA-C1507	9	4
A0A075B6Q4	HLA-A0201	9	1
A0A075B6Q4	HLA-A1101	9	6
A0A075B6Q4	HLA-B0702	9	2
A0A075B6Q4	HLA-B2705	9	3
A0A075B6Q4	HLA-C0202	9	4
A0A075B6Q5	HLA-A0201	9	6
A0A075B6Q5	HLA-A1101	9	6
A0A075B6Q5	HLA-B0702	9	1
A0A075B6Q5	HLA-B2705	9	1
A0A075B6Q5	HLA-C0202	9	8
A0A075B6Q5	HLA-C1507	9	4
A0A075B6R0	HLA-A0201	9	4
A0A075B6R0	HLA-A1101	9	1
A0A075B6R0	HLA-B2705	9	7
A0A075B6R0	HLA-C0202	9	8
A0A075B6R0	HLA-C1507	9	2
A0A075B6R2	HLA-A0201	9	2
A0A075B6R2	HLA-A1101	9	6
A0A075B6R2	HLA-B0702	9	2
A0A075B6R2	HLA-B2705	9	2
A0A075B6R2	HLA-C0202	9	7
A0A075B6R2	HLA-C1507	9	3
A0A075B6R9	HLA-A0201	9	4
A0A075B6R9	HLA-A1101	9	1
A0A075B6R9	HLA-B0702	9	3
A0A075B6R9	HLA-B2705	9	3
A0A075B6R9	HLA-C0202	9	7
A0A075B6R9	HLA-C1507	9	6
A0A075B6S0	HLA-A0201	9	2
A0A075B6S0	HLA-B0702	9	1
A0A075B6S0	HLA-B2705	9	1
A0A075B6S0	HLA-C0202	9	2
A0A075B6S0	HLA-C1507	9	2
A0A075B6S2	HLA-A0201	9	4
A0A075B6S2	HLA-A1101	9	1
A0A075B6S2	HLA-B0702	9	2
A0A075B6S2	HLA-B2705	9	2
A0A075B6S2	HLA-C0202	9	8
A0A075B6S2	HLA-C1507	9	5
A0A075B6S4	HLA-A0201	9	4
A0A075B6S4	HLA-A1101	9	2
A0A075B6S4	HLA-B0702	9	6
A0A075B6S4	HLA-B2705	9	3
A0A075B6S4	HLA-C0202	9	6
A0A075B6S4	HLA-C1507	9	3
A0A075B6S5	HLA-A0201	9	1
A0A075B6S5	HLA-A1101	9	3
A0A075B6S5	HLA-B0702	9	5
A0A075B6S5	HLA-B2705	9	2
A0A075B6S5	HLA-C0202	9	8
A0A075B6S5	HLA-C1507	9	5
A0A075B6S6	HLA-A0201	9	3
A0A075B6S6	HLA-A1101	9	3
A0A075B6S6	HLA-B0702	9	4
A0A075B6S6	HLA-B2705	9	3
A0A075B6S6	HLA-C0202	9	6
A0A075B6S6	HLA-C1507	9	4
A0A075B6S9	HLA-A0201	9	3
A0A075B6S9	HLA-A1101	9	4
A0A075B6S9	HLA-B0702	9	5
A0A075B6S9	HLA-B2705	9	6
A0A075B6S9	HLA-C0202	9	8
A0A075B6S9	HLA-C1507	9	7
A0A075B6T3	HLA-A0201	9	2
A0A075B6T3	HLA-B2705	9	1
A0A075B6T3	HLA-C0202	9	1
A0A075B6T3	HLA-C1507	9	1
A0A075B6T6	HLA-A0201	9	4
A0A075B6T6	HLA-A1101	9	4
A0A075B6T6	HLA-B0702	9	2
A0A075B6T6	HLA-B2705	9	5
A0A075B6T6	HLA-C0202	9	8
A0A075B6T6	HLA-C1507	9	5
A0A075B6T7	HLA-A0201	9	5
A0A075B6T7	HLA-A1101	9	3
A0A075B6T7	HLA-B0702	9	1
A0A075B6T7	HLA-B2705	9	4
A0A075B6T7	HLA-C0202	9	4
A0A075B6T7	HLA-C1507	9	1
A0A075B6T8	HLA-A0201	9	1
A0A075B6T8	HLA-A1101	9	3
A0A075B6T8	HLA-B0702	9	3
A0A075B6T8	HLA-B2705	9	2
A0A075B6T8	HLA-C0202	9	4
A0A075B6T8	HLA-C1507	9	1
A0A075B6U4	HLA-A0201	9	1
A0A075B6U4	HLA-A1101	9	3
A0A075B6U4	HLA-B0702	9	1
A0A075B6U4	HLA-B2705	9	3
A0A075B6U4	HLA-C0202	9	7
A0A075B6U4	HLA-C1507	9	4
A0A075B6U6	HLA-A0201	9	8
A0A075B6U6	HLA-A1101	9	5
A0A075B6U6	HLA-B0702	9	2
A0A075B6U6	HLA-B2705	9	2
A0A075B6U6	HLA-C0202	9	11
A0A075B6U6	HLA-C1507	9	8
A0A075B6U7	HLA-A0201	9	1
A0A075B6U7	HLA-B0702	9	1
A0A075B6U7	HLA-B2705	9	1
A0A075B6U7	HLA-C0202	9	2
A0A075B6U7	HLA-C1507	9	1
A0A075B6U8	HLA-A0201	9	1
A0A075B6U8	HLA-A1101	9	1
A0A075B6U8	HLA-C0202	9	2
A0A075B6U8	HLA-C1507	9	2
A0A075B6U9	HLA-A0201	9	1
A0A075B6U9	HLA-A1101	9	1
A0A075B6U9	HLA-C0202	9	1
A0A075B6U9	HLA-C1507	9	1
A0A075B6V0	HLA-A0201	9	1
A0A075B6V0	HLA-B2705	9	2
A0A075B6V0	HLA-C0202	9	2
A0A075B6V0	HLA-C1507	9	2
A0A075B6V1	HLA-B2705	9	2
A0A075B6V1	HLA-C0202	9	1
A0A075B6V1	HLA-C1507	9	2
A0A075B6V2	HLA-A0201	9	1
A0A075B6V2	HLA-A1101	9	1
A0A075B6V2	HLA-B0702	9	1
A0A075B6V2	HLA-B2705	9	1
A0A075B6V2	HLA-C0202	9	2
A0A075B6V2	HLA-C1507	9	2
A0A075B6V3	HLA-C0202	9	1
A0A075B6V3	HLA-C1507	9	1
A0A075B6V5	HLA-A0201	9	2
A0A075B6V5	HLA-A1101	9	4
A0A075B6V5	HLA-B0702	9	3
A0A075B6V5	HLA-B2705	9	2
A0A075B6V5	HLA-C0202	9	6
A0A075B6V5	HLA-C1507	9	5
A0A075B6V6	HLA-A1101	9	1
A0A075B6V6	HLA-B0702	9	1
A0A075B6V6	HLA-B2705	9	1
A0A075B6V6	HLA-C0202	9	1
A0A075B6V6	HLA-C1507	9	1
A0A075B6V7	HLA-A0201	9	1
A0A075B6V7	HLA-B0702	9	2
A0A075B6V7	HLA-B2705	9	1
A0A075B6V7	HLA-C0202	9	2
A0A075B6V7	HLA-C1507	9	2
A0A075B6V8	HLA-A0201	9	1
A0A075B6V8	HLA-B2705	9	2
A0A075B6V8	HLA-C0202	9	3
A0A075B6V8	HLA-C1507	9	2
A0A075B6V9	HLA-A0201	9	2
A0A075B6V9	HLA-B2705	9	1
A0A075B6V9	HLA-C0202	9	2
A0A075B6V9	HLA-C1507	9	2
A0A075B6W1	HLA-A0201	9	2
A0A075B6W1	HLA-A1101	9	1
A0A075B6W1	HLA-B0702	9	1
A0A075B6W1	HLA-B2705	9	3
A0A075B6W1	HLA-C0202	9	5
A0A075B6W1	HLA-C1507	9	3
A0A075B6W2	HLA-A0201	9	1
A0A075B6W2	HLA-B2705	9	2
A0A075B6W2	HLA-C0202	9	3
A0A075B6W2	HLA-C1507	9	3
A0A075B6W3	HLA-A0201	9	1
A0A075B6W3	HLA-A1101	9	2
A0A075B6W3	HLA-C0202	9	1
A0A075B6W3	HLA-C1507	9	1
A0A075B6W4	HLA-B2705	9	1
A0A075B6W4	HLA-C0202	9	3
A0A075B6W4	HLA-C1507	9	3
A0A075B6W5	HLA-A0201	9	4
A0A075B6W5	HLA-A1101	9	3
A0A075B6W5	HLA-B0702	9	3
A0A075B6W5	HLA-B2705	9	2
A0A075B6W5	HLA-C0202	9	7
A0A075B6W5	HLA-C1507	9	1
A0A075B6W6	HLA-A0201	9	2
A0A075B6W6	HLA-B0702	9	1
A0A075B6W6	HLA-B2705	9	2
A0A075B6W6	HLA-C0202	9	3
A0A075B6W6	HLA-C1507	9	2
A0A075B6W7	HLA-A0201	9	1
A0A075B6W7	HLA-B2705	9	1
A0A075B6W7	HLA-C0202	9	1
A0A075B6W7	HLA-C1507	9	1
A0A075B6W8	HLA-A0201	9	1
A0A075B6W8	HLA-B0702	9	1
A0A075B6W8	HLA-B2705	9	1
A0A075B6W8	HLA-C0202	9	2
A0A075B6W8	HLA-C1507	9	2
A0A075B6W9	HLA-A0201	9	1
A0A075B6W9	HLA-A1101	9	1
A0A075B6W9	HLA-B0702	9	1
A0A075B6W9	HLA-B2705	9	1
A0A075B6W9	HLA-C0202	9	2
A0A075B6W9	HLA-C1507	9	2
A0A075B6X0	HLA-A1101	9	1
A0A075B6X0	HLA-C0202	9	2
A0A075B6X0	HLA-C1507	9	1
A0A075B6X3	HLA-A0201	9	2
A0A075B6X3	HLA-A1101	9	1
A0A075B6X3	HLA-C0202	9	3
A0A075B6X3	HLA-C1507	9	3
A0A075B6X4	HLA-A1101	9	1
A0A075B6X4	HLA-B0702	9	1
A0A075B6X4	HLA-B2705	9	1
A0A075B6X4	HLA-C0202	9	3
A0A075B6X4	HLA-C1507	9	1
A0A075B6X5	HLA-A0201	9	6
A0A075B6X5	HLA-A1101	9	1
A0A075B6X5	HLA-B0702	9	2
A0A075B6X5	HLA-C0202	9	8
A0A075B6X5	HLA-C1507	9	6
A0A075B6X7	HLA-A0201	9	1
A0A075B6X7	HLA-B0702	9	1
A0A075B6X7	HLA-B2705	9	1
A0A075B6X7	HLA-C0202	9	3
A0A075B6X7	HLA-C1507	9	3
A0A075B6X8	HLA-A1101	9	1
A0A075B6X8	HLA-B2705	9	1
A0A075B6X8	HLA-C0202	9	3
A0A075B6X8	HLA-C1507	9	3
A0A075B6X9	HLA-A1101	9	1
A0A075B6X9	HLA-B0702	9	1
A0A075B6X9	HLA-B2705	9	2
A0A075B6X9	HLA-C0202	9	3
A0A075B6X9	HLA-C1507	9	1
A0A075B6Y0	HLA-A0201	9	1
A0A075B6Y0	HLA-B0702	9	1
A0A075B6Y0	HLA-B2705	9	1
A0A075B6Y0	HLA-C0202	9	1
A0A075B6Y0	HLA-C1507	9	2
A0A075B6Y1	HLA-A0201	9	1
A0A075B6Y1	HLA-A1101	9	2
A0A075B6Y1	HLA-B0702	9	1
A0A075B6Y1	HLA-B2705	9	2
A0A075B6Y1	HLA-C0202	9	1
A0A075B6Y1	HLA-C1507	9	1
A0A075B6Y3	HLA-A0201	9	1
A0A075B6Y3	HLA-A1101	9	1
A0A075B6Y3	HLA-B2705	9	1
A0A075B6Y3	HLA-C0202	9	2
A0A075B6Y3	HLA-C1507	9	2
A0A075B6Y4	HLA-A1101	9	2
A0A075B6Y4	HLA-B2705	9	1
A0A075B6Y4	HLA-C0202	9	2
A0A075B6Y5	HLA-A0201	9	2
A0A075B6Y5	HLA-A1101	9	2
A0A075B6Y5	HLA-C0202	9	3
A0A075B6Y5	HLA-C1507	9	2
A0A075B6Y8	HLA-A1101	9	1
A0A075B6Y8	HLA-B0702	9	1
A0A075B6Y8	HLA-B2705	9	1
A0A075B6Y8	HLA-C0202	9	2
A0A075B6Y8	HLA-C1507	9	2
A0A075B6Y9	HLA-A0201	9	1
A0A075B6Y9	HLA-A1101	9	1
A0A075B6Y9	HLA-B0702	9	1
A0A075B6Y9	HLA-B2705	9	2
A0A075B6Y9	HLA-C0202	9	3
A0A075B6Y9	HLA-C1507	9	2
A0A075B6Z0	HLA-B2705	9	1
A0A075B6Z0	HLA-C0202	9	4
A0A075B6Z0	HLA-C1507	9	2
A0A075B6Z1	HLA-A0201	9	2
A0A075B6Z1	HLA-A1101	9	1
A0A075B6Z1	HLA-C0202	9	3
A0A075B6Z1	HLA-C1507	9	3
A0A075B6Z2	HLA-A0201	9	1
A0A075B6Z2	HLA-A1101	9	1
A0A075B6Z2	HLA-B0702	9	1
A0A075B6Z2	HLA-B2705	9	2
A0A075B6Z2	HLA-C0202	9	3
A0A075B6Z2	HLA-C1507	9	2
A0A075B6Z3	HLA-A1101	9	1
A0A075B6Z3	HLA-B0702	9	1
A0A075B6Z3	HLA-C0202	9	3
A0A075B6Z3	HLA-C1507	9	1
A0A075B6Z4	HLA-A0201	9	1
A0A075B6Z4	HLA-B0702	9	2
A0A075B6Z4	HLA-C0202	9	2
A0A075B6Z4	HLA-C1507	9	2
A0A075B6Z5	HLA-A0201	9	1
A0A075B6Z5	HLA-A1101	9	1
A0A075B6Z5	HLA-C0202	9	2
A0A075B6Z5	HLA-C1507	9	2
A0A075B6Z8	HLA-A0201	9	1
A0A075B6Z8	HLA-A1101	9	1
A0A075B6Z8	HLA-B0702	9	1
A0A075B6Z8	HLA-B2705	9	1
A0A075B6Z8	HLA-C0202	9	1
A0A075B6Z8	HLA-C1507	9	2
A0A075B6Z9	HLA-A0201	9	1
A0A075B6Z9	HLA-C0202	9	2
A0A075B6Z9	HLA-C1507	9	2
A0A075B700	HLA-A0201	9	2
A0A075B700	HLA-B2705	9	2
A0A075B700	HLA-C0202	9	2
A0A075B700	HLA-C1507	9	2
A0A075B702	HLA-A1101	9	1
A0A075B702	HLA-B2705	9	1
A0A075B702	HLA-C0202	9	2
A0A075B702	HLA-C1507	9	1
A0A075B704	HLA-A0201	9	1
A0A075B704	HLA-A1101	9	2
A0A075B704	HLA-B0702	9	1
A0A075B704	HLA-B2705	9	1
A0A075B704	HLA-C0202	9	2
A0A075B704	HLA-C1507	9	2
A0A075B706	HLA-A0201	9	1
A0A075B706	HLA-A1101	9	2
A0A075B706	HLA-C0202	9	2
A0A075B706	HLA-C1507	9	2
A0A075B708	HLA-A1101	9	2
A0A075B708	HLA-B2705	9	2
A0A075B708	HLA-C0202	9	3
A0A075B708	HLA-C1507	9	1
A0A075B709	HLA-A0201	9	1
A0A075B709	HLA-A1101	9	1
A0A075B709	HLA-B2705	9	1
A0A075B709	HLA-C0202	9	1
A0A075B709	HLA-C1507	9	1
A0A075B710	HLA-A0201	9	1
A0A075B710	HLA-B2705	9	1
A0A075B710	HLA-C0202	9	2
A0A075B710	HLA-C1507	9	1
A0A075B711	HLA-A0201	9	1
A0A075B711	HLA-A1101	9	1
A0A075B711	HLA-B0702	9	1
A0A075B711	HLA-B2705	9	1
A0A075B711	HLA-C0202	9	2
A0A075B711	HLA-C1507	9	1
A0A075B712	HLA-A0201	9	1
A0A075B712	HLA-B2705	9	1
A0A075B712	HLA-C0202	9	2
A0A075B712	HLA-C1507	9	2
A0A075B713	HLA-A0201	9	1
A0A075B713	HLA-A1101	9	1
A0A075B713	HLA-B2705	9	1
A0A075B713	HLA-C0202	9	1
A0A075B713	HLA-C1507	9	2
A0A075B714	HLA-A0201	9	1
A0A075B714	HLA-A1101	9	1
A0A075B714	HLA-B0702	9	1
A0A075B714	HLA-C0202	9	1
A0A075B714	HLA-C1507	9	1
A0A075B734	HLA-A0201	9	23
A0A075B734	HLA-A1101	9	10
A0A075B734	HLA-B0702	9	12
A0A075B734	HLA-B2705	9	3
A0A075B734	HLA-C0202	9	29
A0A075B734	HLA-C1507	9	21
A0A075B759	HLA-A1101	9	7
A0A075B759	HLA-B0702	9	3
A0A075B759	HLA-B2705	9	2
A0A075B759	HLA-C0202	9	10
A0A075B759	HLA-C1507	9	4
A0A075B767	HLA-A0201	9	2
A0A075B767	HLA-A1101	9	7
A0A075B767	HLA-B0702	9	3
A0A075B767	HLA-B2705	9	2
A0A075B767	HLA-C0202	9	11
A0A075B767	HLA-C1507	9	4
A0A075B792	HLA-A0201	9	4
A0A075B792	HLA-A1101	9	3
A0A075B792	HLA-B0702	9	13
A0A075B792	HLA-B2705	9	2
A0A075B792	HLA-C0202	9	7
A0A075B792	HLA-C1507	9	5
A0A075B7B6	HLA-A0201	9	3
A0A075B7B6	HLA-A1101	9	5
A0A075B7B6	HLA-B0702	9	2
A0A075B7B6	HLA-B2705	9	2
A0A075B7B6	HLA-C0202	9	6
A0A075B7B6	HLA-C1507	9	3
A0A075B7B8	HLA-A0201	9	8
A0A075B7B8	HLA-A1101	9	6
A0A075B7B8	HLA-B2705	9	2
A0A075B7B8	HLA-C0202	9	9
A0A075B7B8	HLA-C1507	9	4
A0A075B7D0	HLA-A0201	9	4
A0A075B7D0	HLA-A1101	9	3
A0A075B7D0	HLA-B0702	9	1
A0A075B7D0	HLA-B2705	9	4
A0A075B7D0	HLA-C0202	9	8
A0A075B7D0	HLA-C1507	9	7
A0A075B7D4	HLA-A0201	9	2
A0A075B7D4	HLA-A1101	9	1
A0A075B7D4	HLA-B0702	9	5
A0A075B7D4	HLA-B2705	9	5
A0A075B7D4	HLA-C0202	9	6
A0A075B7D4	HLA-C1507	9	3
A0A075B7D8	HLA-A0201	9	7
A0A075B7D8	HLA-A1101	9	6
A0A075B7D8	HLA-B0702	9	1
A0A075B7D8	HLA-B2705	9	1
A0A075B7D8	HLA-C0202	9	11
A0A075B7D8	HLA-C1507	9	7
A0A075B7E0	HLA-B2705	9	1
A0A075B7E0	HLA-C0202	9	2
A0A075B7E8	HLA-A0201	9	7
A0A075B7E8	HLA-A1101	9	5
A0A075B7E8	HLA-B2705	9	2
A0A075B7E8	HLA-C0202	9	6
A0A075B7E8	HLA-C1507	9	3
A0A075B7F0	HLA-A0201	9	7
A0A075B7F0	HLA-A1101	9	6
A0A075B7F0	HLA-B2705	9	1
A0A075B7F0	HLA-C0202	9	9
A0A075B7F0	HLA-C1507	9	3
A0A075B7F1	HLA-A0201	9	4
A0A075B7F1	HLA-A1101	9	3
A0A075B7F1	HLA-B0702	9	1
A0A075B7F1	HLA-B2705	9	2
A0A075B7F1	HLA-C0202	9	6
A0A075B7F1	HLA-C1507	9	3
A0A087WSX0	HLA-A0201	9	2
A0A087WSX0	HLA-A1101	9	1
A0A087WSX0	HLA-B0702	9	2
A0A087WSX0	HLA-B2705	9	1
A0A087WSX0	HLA-C0202	9	7
A0A087WSX0	HLA-C1507	9	7
A0A087WSX6	HLA-A0201	9	27
A0A087WSX6	HLA-A1101	9	24
A0A087WSX6	HLA-B0702	9	9
A0A087WSX6	HLA-B2705	9	12
A0A087WSX6	HLA-C0202	9	56
A0A087WSX6	HLA-C1507	9	30
A0A087WSY0	HLA-A0201	9	6
A0A087WSY0	HLA-A1101	9	1
A0A087WSY0	HLA-B0702	9	3
A0A087WSY0	HLA-B2705	9	4
A0A087WSY0	HLA-C0202	9	6
A0A087WSY0	HLA-C1507	9	4
A0A087WSY4	HLA-A0201	9	3
A0A087WSY4	HLA-A1101	9	5
A0A087WSY4	HLA-B0702	9	3
A0A087WSY4	HLA-B2705	9	4
A0A087WSY4	HLA-C0202	9	11
A0A087WSY4	HLA-C1507	9	4
A0A087WSY6	HLA-A0201	9	3
A0A087WSY6	HLA-A1101	9	1
A0A087WSY6	HLA-B0702	9	3
A0A087WSY6	HLA-B2705	9	4
A0A087WSY6	HLA-C0202	9	13
A0A087WSY6	HLA-C1507	9	6
A0A087WSZ0	HLA-A0201	9	3
A0A087WSZ0	HLA-A1101	9	3
A0A087WSZ0	HLA-B0702	9	4
A0A087WSZ0	HLA-B2705	9	3
A0A087WSZ0	HLA-C0202	9	9
A0A087WSZ0	HLA-C1507	9	5
A0A087WSZ3	HLA-A0201	9	1
A0A087WSZ3	HLA-A1101	9	4
A0A087WSZ3	HLA-B0702	9	8
A0A087WSZ3	HLA-B2705	9	1
A0A087WSZ3	HLA-C0202	9	8
A0A087WSZ3	HLA-C1507	9	4
A0A087WSZ9	HLA-A0201	9	4
A0A087WSZ9	HLA-A1101	9	6
A0A087WSZ9	HLA-B0702	9	2
A0A087WSZ9	HLA-B2705	9	2
A0A087WSZ9	HLA-C0202	9	5
A0A087WSZ9	HLA-C1507	9	2
A0A087WT01	HLA-A0201	9	3
A0A087WT01	HLA-A1101	9	4
A0A087WT01	HLA-B0702	9	1
A0A087WT01	HLA-B2705	9	1
A0A087WT01	HLA-C0202	9	6
A0A087WT01	HLA-C1507	9	2
A0A087WT02	HLA-A0201	9	4
A0A087WT02	HLA-A1101	9	2
A0A087WT02	HLA-B0702	9	4
A0A087WT02	HLA-B2705	9	3
A0A087WT02	HLA-C0202	9	10
A0A087WT02	HLA-C1507	9	6
A0A087WT03	HLA-A0201	9	4
A0A087WT03	HLA-A1101	9	3
A0A087WT03	HLA-B0702	9	1
A0A087WT03	HLA-B2705	9	3
A0A087WT03	HLA-C0202	9	10
A0A087WT03	HLA-C1507	9	5
A0A087WTG2	HLA-A0201	9	2
A0A087WTG2	HLA-A1101	9	2
A0A087WTG2	HLA-B0702	9	4
A0A087WTG2	HLA-C0202	9	3
A0A087WTG2	HLA-C1507	9	2
A0A087WTH1	HLA-A0201	9	8
A0A087WTH1	HLA-A1101	9	2
A0A087WTH1	HLA-B0702	9	1
A0A087WTH1	HLA-B2705	9	2
A0A087WTH1	HLA-C0202	9	1
A0A087WTH5	HLA-A0201	9	3
A0A087WTH5	HLA-A1101	9	4
A0A087WTH5	HLA-B0702	9	4
