peptide_sequence_id	uniprot_id
4207	P55211
1673	A8K0Z3
49170	Q6S8J3
36799	P35580
56625	Q16851
32143	Q96KP4
26684	O75533
60887	P54652
7547	Q7Z3V4
13161	P24390
52669	P27635
22362	Q9Y2Y1
6004	Q9UPQ0
15597	Q96ST3
56812	P23470
11737	O14880
41315	P02538
36696	P05787
59490	Q9Y5W5
54169	Q16698
58815	P32189
36063	P60228
20383	Q5T4B2
13478	O60285
30208	P62140
45103	P55769
6579	Q9NUP9
1227	Q6PJG2
4271	Q9Y490
1812	P28370
48430	A0A0B4J1X5
42747	Q96QV6
56010	P02751
31773	P05787
62942	Q15582
44181	Q8WX92
44080	P23109
59547	P22897
8428	Q5Y7A7
40479	Q9BRS2
989	P30499
34756	P00488
11256	Q6DN03
15094	Q32MZ4
21645	E9PAV3
41255	Q9NTX5
29567	Q8ND71
19285	Q9P0W2
2596	Q9NQ55
114	P62736
4762	Q9BZ29
62660	P49327
57067	P05387
63592	Q07954
5377	Q53FV1
28578	Q9H195
55973	P20339
3564	P22105
28547	Q9HCP6
15107	Q5SRE5
27008	Q9P0W2
47320	P30040
50583	P08670
62531	Q29960
33177	O94979
35892	P04004
48537	A0A0B4J1V1
27462	P04233
60269	P24394
31481	Q15058
30565	Q9Y385
14716	O60656
38447	P11055
39889	O14910
45699	Q08AF3
56878	P00558
35913	P09601
23660	Q99873
32115	P01019
60039	P27816
39544	P06865
46123	Q9BWH2
47503	Q8TB22
56866	P28062
60019	Q13797
32035	Q8NI35
17178	O00160
3018	Q8WXH0
41053	Q9UKX2
39880	Q8WZ64
42747	Q99878
445	Q29865
11075	Q9H668
26541	Q15393
501	P62736
57522	O00161
30320	P14060
15241	Q93073
8480	A6NFX1
16398	P11309
22741	Q14254
19147	Q8IWX5
19192	P06396
2138	Q5TEJ8
59485	P15907
31130	P29597
3999	P09871
33697	Q93052
5825	P04083
24579	P16190
3252	O00743
18116	O95236
3079	P62318
14911	Q9UH65
24738	Q9Y6W5
49240	P22695
17244	Q5TFE4
36754	P51679
48594	P07148
52354	P62280
24839	P04440
13054	Q6PKG0
24088	Q96HR3
3815	Q9UH65
41383	O43896
57235	P48960
25432	O75175
35040	P80365
12485	O14672
33192	Q9UK61
37082	P30493
61934	P01009
61180	Q9H0R4
51557	P02679
4437	Q6P1K8
50083	P12830
11274	Q9UNM6
13906	Q8NG27
61499	P20340
59064	P04350
5576	Q8N4C8
1808	O60674
7323	P49366
7598	Q86YE8
15342	Q5VTT5
29951	Q3L8U1
50347	P00813
35700	Q9Y285
33168	Q96JG6
39669	P11172
6806	Q96FZ7
23235	P20929
51917	A5A3E0
36199	Q6PD62
30774	Q01518
40645	Q30154
33492	Q8IVF2
29657	Q6ZN19
36698	Q8IZQ1
26656	Q96MG8
62505	P01031
45878	P09488
17701	Q460N5
47434	Q29865
55508	Q92542
60063	P06733
57575	P01857
5697	Q9NZ08
41657	Q14185
33451	P22307
60445	Q9NPF0
27636	Q15393
12258	Q86VX2
19784	P68032
33955	Q14094
57717	P27797
29923	P31483
60746	P63261
45727	Q9UPU5
24040	Q99622
59016	Q8N448
9657	P26196
17098	P41226
12364	Q13033
42484	Q9H4B7
40322	Q14116
47590	Q06187
59410	Q08380
42461	P04114
43165	O14901
50530	P04114
41564	P17029
35503	Q5TCH4
11173	P12111
39221	Q29865
23432	Q9Y266
35811	Q9Y4E1
10778	P35606
43015	Q9P0V9
48621	P07098
14400	P39023
4255	P60709
17566	Q14582
2884	P41229
37051	O00762
3799	Q92734
24812	P03891
23588	Q562R1
53315	P07996
58271	P04406
9390	P55072
1137	P68133
6588	Q9P0L1
8140	Q9UBC3
2796	Q9H2U1
30459	Q9Y6D6
10379	Q13748
14643	O14832
5926	P18583
32230	Q5T7V8
3768	P02671
20390	Q96EP0
42450	O75417
23639	P20839
37596	Q5VUA4
38655	P19544
39761	Q460N5
35133	Q14156
43975	Q14728
38844	Q8WVX9
39461	O43251
25960	Q92522
63858	P02679
52877	Q5T5P2
43081	P33121
3196	Q96KK5
61577	P15144
29657	Q15928
15091	P40306
13442	P20591
50840	O00299
62075	P20701
1829	Q99622
46687	P46939
60011	P21291
18990	O60264
43952	Q8NHM4
62770	P79483
61098	Q8N5G0
30063	P48643
45136	P08648
17069	Q9UQC2
4433	Q86UW7
8319	P05141
43143	P62841
53654	P62807
51217	P21333
17777	P05787
46932	O14980
39090	P46821
13939	Q9H3M7
11321	P60709
20982	Q96M27
8624	O43680
59729	P31942
28538	Q99999
38171	O00408
29201	P10619
10782	Q13563
11517	P78527
34007	Q9BY78
47308	O15050
19668	P62937
24198	O95198
28929	P33261
61800	Q16555
49115	P60903
20463	Q8NF91
63374	O75795
1663	Q7Z7L1
41176	O15230
12772	Q9NQX7
34580	Q9UJX3
1062	P49755
5090	Q969N2
55776	P02746
27985	Q6P1M3
61435	A6NMY6
20458	O95926
10793	P34931
18924	O60218
10727	P60228
42582	P07814
5838	Q16778
24449	P21333
54523	Q13510
37097	O60427
22746	P49792
10443	Q9UJT9
22837	Q9Y3L3
5219	Q9H1B5
13647	P21333
63749	P30512
36782	O95477
2055	Q9H869
5298	P12270
57424	P16190
477	O43306
61506	Q86SJ2
44300	Q96G23
25547	P04350
63081	Q6S8J3
15893	O15551
13335	Q8N2R8
49934	Q99878
15404	Q06278
4920	Q9HAV4
46255	O60307
19974	O60437
8702	P55268
2633	Q9GZR7
26371	P30450
24599	Q9H9T3
57569	Q29865
38543	Q9Y5E5
41483	P24468
2313	P17693
30141	O94822
29291	Q14596
59205	P06681
25045	Q12946
60747	P31327
21995	Q99685
12496	Q93079
60779	P15907
8303	P49019
34906	Q9Y279
4580	P17655
58333	P23528
51030	P13796
11388	Q9UGT4
57125	P68133
36665	P16104
13496	P35611
2314	P18464
46405	Q9NTI5
48775	P04114
19212	Q15029
8722	P51116
58746	Q71U36
17329	Q9Y4D7
29034	Q68BL8
60200	P42702
25256	Q16585
22842	P62736
44598	P12004
27092	Q9NZ42
36911	Q99829
60871	P10314
44166	Q02750
13515	O00506
8321	Q9NPH2
9183	P08133
29732	P30685
29827	Q04446
43715	Q8WXH0
25565	P06241
53246	P23467
43622	Q8IY81
18225	P38159
29695	P17693
59901	P08758
42324	P46939
53858	P30049
1418	O75534
724	P27449
27279	O00625
39362	P0CG38
17838	P29558
60130	P04114
56860	Q6IS14
19381	Q9GZU2
27518	O43847
21540	O15146
48675	P30447
55302	Q96E17
3586	P30460
14008	Q14980
2917	P00367
6186	P42224
46927	Q9NZA1
57836	O15335
61375	Q14204
23754	Q86V71
25503	Q99418
60012	P27361
3735	Q92830
48164	O15121
2313	P01891
11248	Q9NP56
58043	P19823
2727	Q9HD89
28063	P28072
53704	P07099
30796	P36969
5127	P69905
22259	Q9H2K2
9703	Q9UHD8
55757	P01034
9153	P16190
41312	P04899
51865	P33151
23641	Q99878
1625	Q02539
58624	P09848
29599	Q13393
13189	P01266
15196	P21359
50161	P36542
2017	Q07002
5393	P42345
19609	P37840
3986	Q5R372
48574	P30447
38127	O95059
34015	Q2VPB7
6404	P12236
19494	Q5VYK3
10671	Q9UL46
11708	P30566
19627	O94915
28279	P35222
46022	Q53HC5
115	Q92900
13199	Q96JN2
18794	Q6P2Q9
52394	P01019
57054	Q99880
25746	Q8IZF2
2528	Q9NQT8
38203	Q9ULL4
55930	Q9NZ94
37010	Q6S8J3
31682	Q9UKX5
19315	P27105
13971	Q9Y520
1516	P23471
33102	P42224
34578	Q92608
2092	Q9BQS7
59927	P02679
14952	Q9BTE1
24055	O00217
33971	Q66LE6
42327	Q86WI1
30467	P0DI81
3682	P55263
60699	Q9BW72
41778	P0C7P0
62579	P20142
55914	P98160
42291	Q9UPX8
47092	P40763
4232	Q5JNZ5
46864	P63146
20880	P21675
62623	P33151
51226	P61225
2539	B5ME19
39846	Q5T8D3
54412	P01891
18609	Q13454
49688	P16284
51104	P30484
16292	Q2PPJ7
14054	Q9Y4G8
59582	P06396
29340	Q13464
20583	Q63HR2
42319	Q9Y281
35205	P00918
8265	P51679
141	P62195
53633	P16401
20712	Q5VW36
50670	P81408
26375	P49321
31679	Q9Y487
55763	P02746
25294	Q8N3X1
32901	Q7RTP6
14995	P10599
17058	P58876
38781	Q53GQ0
41323	Q14896
51125	P00739
60101	P39059
60160	Q9BXB1
9787	P05534
10252	Q9TNN7
54488	P50914
39296	Q9ULH1
61399	P04746
58917	P00751
37271	P0DP08
22882	Q15032
48564	P17900
51440	O14786
59487	Q9P1Z2
49597	P62805
35284	P50570
22231	Q9Y623
27329	Q9P2K2
45939	P0C0S5
44333	P35580
52272	Q9Y520
28064	Q92502
20225	P63267
10793	P0DMV9
30362	P50990
154	Q6S8J3
1111	Q01085
5499	Q9BTV4
50099	P02647
25979	P68366
64080	Q13098
25404	P32929
18547	Q8IZJ3
26817	P49366
4527	Q96QK1
5912	P28906
22055	P30520
48975	P30484
25452	Q9HCG7
39135	Q99814
50628	P08567
60808	P30512
47255	Q9H5Z1
1487	Q4VCS5
20595	Q6NUQ4
60404	P68133
17490	Q13356
3453	P51168
54922	Q9BVA1
49080	P10412
1967	Q15417
23588	P68133
51707	P04114
55363	P20039
35493	Q96EU6
63719	Q15907
51391	P24043
6326	Q5TAA0
15747	Q7Z3E2
28176	Q9H4G4
21262	P23769
161	P12111
54071	Q13748
10335	O95236
59283	P31150
24694	Q7L523
42073	Q00526
30746	P42226
59465	P27105
7298	Q8NFP9
445	Q07000
27195	P35658
7006	Q13616
45332	Q96T49
57440	P07237
42001	Q12882
51031	Q15365
3341	P24001
51732	P23467
25374	Q15149
17250	Q8IY17
8264	P62899
45061	Q8N5V2
32935	P11717
52384	Q9H082
23313	Q8IUD6
29657	Q8N859
40008	P42224
32534	Q9NWH9
25695	P0DOX5
2965	Q04917
379	Q86U44
560	Q9UKE5
31472	P34059
27687	Q9BW60
58969	Q02790
54063	P30153
19808	P63267
56012	P02751
38247	Q13402
27105	Q99613
40607	P60709
6836	Q96S82
26447	Q9NW64
10763	Q9NVG8
49116	P31323
54270	Q06481
44965	Q6UXH0
54404	P10316
10166	Q86TG7
43877	Q969R8
30833	P48449
63582	P04114
33399	Q12857
37643	P23219
57424	P30443
41066	Q8TDQ7
53859	Q13557
48659	A0A0C4DH42
16621	Q15773
17808	P60174
30252	Q15418
6219	P50238
12387	P30876
38006	P21675
33904	P17213
43479	A6NMY6
60447	P13929
20768	Q9BSA9
6729	P06733
36665	Q9BTM1
18247	Q9UKA9
28812	P15311
1078	Q92542
30420	Q92616
59190	P12821
825	Q9NVH0
28995	Q14435
14682	P27105
18411	Q9BW72
17619	O00501
19676	P04350
21690	O94875
35680	Q9Y282
59072	P78509
16747	O15530
6111	Q9H213
47760	A0PJZ3
1480	P30480
24427	Q9Y2E4
13752	Q14315
46216	P30447
23891	Q95IE3
9425	Q16531
31604	Q92979
18309	Q86WI1
63119	A5A3E0
4258	P01602
44405	P80511
51203	P18206
56274	P62829
29014	Q29940
48316	Q9Y5L0
48855	P01763
58209	Q15582
51987	P16066
9233	P11831
17869	O60506
5532	Q8WVP5
8508	Q8N7M2
11653	Q9Y2G9
901	Q9TNN7
15566	Q13315
2267	P26447
57678	P54727
21800	O95436
44295	Q14683
24078	Q9Y252
3322	P18463
3989	Q96FK6
6179	P51679
46867	P13639
8730	O75436
41170	O76070
42326	P54707
38422	Q8WWX8
16614	O75533
24076	A0A075B6Q5
10252	P30464
34988	Q6UWM9
63741	P13796
14404	O75362
4156	P0CG38
16905	P06133
38837	Q15155
5670	Q02978
54714	P18621
3375	Q14764
5390	Q5T953
3992	O15392
49866	P28906
31525	Q92664
57423	P16190
59702	P10147
36018	Q9Y5X2
57085	Q6FI13
13698	Q96DE5
59368	P06731
45956	Q5T3J3
14030	Q9UNM6
4349	P63000
48677	P30491
17556	Q8N0T1
30005	Q02156
3322	P30450
47604	Q06055
56986	P68104
41685	P50579
32253	Q96G74
50386	P12236
59402	Q99758
8525	Q14320
32256	P61201
34689	O00507
8776	Q9H270
6644	Q14204
48428	P16189
64131	P07585
56229	P62829
18278	Q14703
37347	Q7Z7F0
22248	O14791
23217	P11055
45436	O15397
26973	Q96D71
27591	Q7L7L0
27811	Q9P2S2
20574	Q96JI7
50138	Q9NZ45
24954	Q5VST9
6491	O75112
39073	P00326
34218	Q7Z7A1
17704	P35579
50465	P62807
7041	P01023
22801	Q9UKA9
20893	Q8N9T8
49657	Q13790
15871	Q86V48
22459	Q96BY2
55632	P04114
47865	O00560
54980	Q15582
18132	Q96PK6
36016	P00734
34165	O75575
25652	Q9HBW9
27104	P11308
16250	Q9UNQ2
18548	Q8WWZ7
58932	P08758
56065	P05141
33241	Q03591
31403	Q9Y272
59558	P02768
32190	P50991
8134	Q86Y39
15576	Q92989
32721	Q9Y6M7
13799	Q5VT52
53989	Q15195
60808	P30498
51235	P21333
40363	P40818
21301	O14908
14977	P50416
59064	P68371
24762	P14780
60872	Q15084
26285	Q8IY21
55516	P62736
46484	P49721
46744	O43847
30303	P46379
49033	P06733
706	Q9UBC9
13174	O95751
57124	P0C0S8
7884	Q86VI1
47529	P38919
46406	Q10570
28343	Q9NWW5
34437	P31997
58751	P78556
28642	Q7Z333
8066	P54760
49619	P33176
47358	P98194
58025	P16671
12881	P60709
33287	Q96NE9
47700	O75955
52585	P0C0L5
44087	Q16378
32068	P30455
14835	P49761
8	Q00839
2280	P42765
63503	P46940
39587	P25940
26754	Q9NR56
29657	Q6ZMW2
26911	Q9UBW7
8695	O94864
32847	Q8WWQ8
55804	P54764
28880	Q8WZ42
24531	P05556
25625	Q05048
31014	O95751
54597	Q8TD47
57675	P07195
19818	O95503
36710	P08729
9997	Q9Y5G6
43897	P00734
59040	P0DP03
48432	P10909
20044	P62081
23510	Q14240
20947	P28702
50688	P01023
5851	O43175
13577	Q92547
57424	P30453
6588	Q9Y3M9
35117	Q92597
62366	P10321
27899	P29992
63925	P62995
5286	Q8NDL9
5397	Q96S82
27660	Q8NEM7
34853	P0DP02
45650	P35749
34932	Q8WXH0
50662	Q96R05
33315	P02511
39070	Q9BUL8
48541	P30493
20974	P62280
31522	Q9GZU1
40502	P12081
49271	Q6FI13
29028	Q9UMS4
15316	Q96S82
255	Q8IZD2
48986	P30450
60575	P22314
45122	Q14204
27098	P11940
631	Q6ICB0
36389	Q13619
19304	Q9BZZ2
61817	P08473
59572	Q10567
13905	P46109
41284	Q9C040
61789	P30044
30600	Q8NEN9
397	P30466
34560	P59666
22909	P01116
51064	Q9HAV0
56005	Q96SW2
63634	P30498
21399	P49591
23992	P53701
13465	O94776
30721	P22105
13037	Q8TAG9
24536	Q9H422
44191	Q96GQ5
42422	Q9H1H9
9925	O95319
47615	Q99456
21271	P03989
12	P40305
58428	P16671
53967	Q8WW52
20565	Q9P2J3
9525	Q9NY97
14528	P18206
18911	Q9NZ63
34177	O00471
8922	Q68BL7
36129	Q16787
14969	Q9Y281
28917	Q96PV6
28564	P12883
46166	Q86X27
36255	A2RTX5
16164	Q5T4S7
37926	P48730
57525	P30456
17645	Q9BUF5
41341	P07339
34904	Q53GS9
50578	Q92522
4167	P50991
18531	O43617
61105	P12814
47281	Q9UM07
17013	P08727
31367	Q9Y4C1
31798	Q68E01
8552	Q9BY77
25779	P26599
25167	P46940
33542	Q8TDL5
2502	O00267
839	Q9Y4A5
39221	P30485
53448	P61513
51574	P39060
51120	Q9NZP8
57436	P62244
44273	P00326
61339	O14579
46041	P53992
60487	Q15485
57051	Q16778
4133	A8MUV8
15161	Q86VQ6
3390	P04114
61866	Q9UIY3
23861	P78347
62929	P11279
39534	P27105
3944	Q93052
43527	Q9Y613
7545	P30495
11370	P51677
62571	P30491
42627	Q8TDF6
38314	Q99489
35960	P03952
56963	P12235
8781	Q9H4M9
42968	Q4G0A6
55028	Q05707
53890	Q92499
52040	P05556
33732	O75530
5629	Q8IXI1
15446	Q9UHB6
13564	O94776
47647	Q3SYC2
40764	P08236
38816	P30530
46563	Q13342
8904	Q30134
32749	Q99549
9669	P53990
18089	Q63ZY3
58928	P05154
22264	Q9UMX1
11931	Q15393
48541	P18465
34511	Q9UBZ9
58539	P62249
36433	P98194
2452	P47897
38031	Q9ULL4
44507	P30492
63109	O00533
30291	Q8N3J6
27322	Q9Y4L1
63630	Q13621
62316	Q29960
32723	P05362
49678	P16435
63115	Q92765
2196	Q5TGZ0
26366	Q9NX63
23276	Q99666
1339	Q13075
39253	Q08AF3
38969	Q12899
25171	Q9BX66
7724	Q03188
3641	Q14592
45542	Q495W5
62243	Q16658
32582	Q58FF8
8298	Q9NQC3
11068	Q8N1T3
48541	Q29960
11250	Q9H4A6
29657	Q9H8G1
18164	Q6ZMZ3
4172	Q15046
41004	Q53GD3
41637	Q5THJ4
29112	Q13263
40828	P0DMP2
40667	P39023
14130	Q99879
25686	Q9UHK6
34775	P35749
1177	P13760
18644	Q9Y255
4591	Q8NI08
26543	Q04446
46226	Q15306
3586	Q29718
1809	Q9Y277
47671	Q9H3Y8
15981	Q16656
19856	P48645
21253	Q14814
41610	Q14247
57881	P02741
25922	Q14204
55410	P29992
13639	Q8IZL8
58879	Q03154
10538	O60330
14467	Q8TCU6
60714	P05121
50257	Q8N5I2
8508	Q9BRH9
56508	P63104
7818	P31948
21554	P21333
44262	Q9NRL2
23393	Q10981
56095	P12235
5917	Q70Z35
5585	P37108
48488	Q6V0I7
42300	P11055
54352	P62277
36771	Q5W111
61296	Q9Y6R7
60601	Q01628
7886	Q01844
23596	Q8TCT9
38736	Q9ULH7
10754	O60488
26515	Q8TF40
60514	Q13509
61523	Q9P0Z9
54368	P56199
20631	Q15746
25576	O75179
7188	Q04637
58316	P23528
63816	P15311
38008	Q2LD37
50637	P45985
58154	P42785
15489	P61587
38223	Q9H330
12245	Q8NI36
14773	Q9Y6U3
11019	Q9HBX8
15341	Q99442
42323	Q8WZ42
63502	O60488
63844	Q9UIJ7
26697	P42696
387	P60709
44216	Q9BZJ0
39152	Q6VMQ6
58867	P00450
4400	P63261
4948	P43487
52720	P10620
60930	Q92542
50497	O43451
14726	Q9Y4P3
48284	Q9P1W9
19803	Q92925
38760	P40424
7018	Q9H4B7
48684	P30457
59798	P63267
30595	Q10570
50683	P01031
2842	Q5JWF2
37416	Q9Y5L0
54126	P30153
11777	Q99572
50895	Q29718
33069	O94973
63114	P58400
39268	Q9UKM9
2660	Q13239
16295	Q00526
7609	A0MZ66
2658	Q96SW2
20698	O15379
29687	Q9UGC7
43159	Q14202
18901	Q9H2G4
35665	P24394
38978	Q3MJ13
11347	P60842
292	Q8N6L1
36288	P05106
24941	Q13136
55860	P23634
56849	P06733
63082	P10412
29310	Q8IYM9
45958	P40424
49472	P02766
63974	P12111
44090	P35527
21312	Q07157
37259	Q9NUA8
41081	Q8WZ42
25726	Q9BTF0
8002	Q9UKA2
42733	Q96A05
46491	Q15334
11731	P05181
13532	P51692
7598	Q9H7R5
3525	Q9NXV6
57073	Q16695
31134	O76039
33465	P18827
60327	Q99460
22179	P20701
39412	Q9BX66
49455	Q969X1
50175	P12235
26520	Q92520
3366	P17030
35277	Q9NQ94
58922	P09210
56197	Q6XQN6
10342	Q9Y5J9
4666	Q01082
25651	Q9NR77
36309	O43929
33335	Q99878
21826	P13797
52254	Q9NQR4
8701	Q8TF46
19262	Q9Y6K1
60736	P27449
45488	Q13813
12326	Q09666
41974	Q15063
54421	Q5T6X4
54826	P62277
33375	P51531
51183	P62736
7981	Q93008
38241	Q08211
44365	P45974
35062	P62380
1438	Q6PEW1
24738	Q9UPY6
15418	P42224
14751	P46940
30368	Q9Y597
52048	P04114
56990	P0DOX8
18825	Q6S8J3
33227	P55212
23226	Q9Y623
11255	P61586
11213	Q9NZN3
37560	P22681
36702	Q9H1C7
40392	Q02880
17197	Q99497
25349	P30510
57163	Q9Y5C1
15551	Q9ULV0
53827	Q16363
52535	P00387
38899	Q07960
30381	Q9BU02
30945	Q9H4A4
6358	O95822
777	P02751
53023	P05023
37039	P51531
9928	O94956
33314	Q96F15
41581	P01762
1294	P62879
40078	O94952
37081	P63092
11489	Q9Y262
19438	Q5VST6
36796	O00182
8508	P0CJ79
1282	P08240
51187	P14543
16732	P08670
44260	Q96GE6
63550	Q31612
29003	O75251
22967	P33947
60668	P04114
9787	P30488
59753	P01023
7581	Q15208
56361	P78508
57971	Q6S8J3
53547	P68871
52028	O43707
177	O00423
46634	Q14653
24444	Q5T5U3
11752	Q9H9B4
56920	Q9UDY2
32543	Q96BY6
28982	Q9UKJ0
51866	P00450
52195	P23381
34562	P06396
23031	P61289
25431	Q99733
3035	P11766
8696	Q6VY07
37352	Q9NWN3
60953	Q8TDW0
13235	O60507
63013	Q14515
26819	Q08378
55203	P01909
27422	Q9NYU2
11506	Q93009
41218	Q8WZ42
4775	P35222
989	P10321
14306	P21333
8508	Q86XN6
42119	P46939
8599	Q04727
2697	Q63HN8
37621	P55081
39567	P61225
42073	P06493
6377	P08217
24280	Q9NW13
19524	Q9Y330
50585	P11279
42200	P20929
61696	P51648
41183	Q15311
46667	Q9UK61
48706	P55083
57515	Q9Y5C1
7292	Q99439
9787	P30483
60004	Q9HCE6
41519	Q9Y383
272	P30479
35162	P61247
26362	P30487
26048	Q63HN8
44806	P50402
40450	P18206
42111	Q9UQE7
8508	P0CG24
16209	P51801
32163	O14581
23183	Q9H6S3
14813	P21399
45341	Q9Y4F3
15050	Q9UJU6
24134	P23246
9156	P46779
45428	Q9UH99
34183	P15056
30165	P14625
30576	Q9Y6L7
21552	Q9Y3F4
39240	Q29963
6140	Q68CP9
16704	P30461
58128	P02768
49699	Q96IX5
357	O95302
36928	P20929
34868	P32242
54987	P0CG04
59625	P06681
4566	O95070
12332	Q6PD74
39205	P35579
3338	Q9BSF8
46063	Q92973
59815	P11766
39602	P00326
58442	A0A075B6P5
50064	P06396
27418	Q8N9M1
59874	Q09666
38215	P14174
20172	Q14149
63392	P37837
9825	P30443
61812	P31937
44544	P0DOX8
17057	P22061
12618	Q96A35
7709	Q6L8Q7
63234	P68431
25508	P78329
34057	P62807
40135	O00329
49616	P55899
19811	Q6P0Q8
42368	Q96LW4
41952	P28290
16224	Q9BWP8
61086	P62316
18466	P05093
51194	P02545
40632	Q15075
11530	P69905
19795	O43374
58333	Q9Y281
21135	O75310
11654	Q16695
19557	Q6FI13
5852	Q16625
26677	Q8N2M8
31386	P68363
39279	P46940
50755	Q9H8S9
16108	P36954
21126	Q92851
40585	P62736
15393	P12277
6588	Q6U7Q0
59797	P68871
58363	P23528
17639	P17600
47679	Q8N126
28721	Q4LDE5
622	Q93052
47181	Q00839
24278	Q99879
52559	P05543
7599	Q15751
52916	Q9UGT4
58379	Q9H4B7
6588	O60304
39626	P04843
57047	O14880
166	P16403
17962	Q9HBL0
52512	P05109
9285	Q9H074
55729	P0C0L5
59335	Q14515
34674	O43306
17371	Q9Y520
52908	P02746
43977	Q92499
188	O75643
20034	Q9H0L4
20450	O14939
6588	O95125
17583	P68363
42548	P53618
60929	P13637
6764	Q14980
3322	P10314
45456	Q9Y520
21478	Q9NZN5
24373	P10909
10341	Q8NCM8
57375	P08185
63384	Q9H4M9
54635	P15311
39980	O15294
29273	Q14703
55194	P54727
41154	Q5VTT5
47107	P04040
59653	P42766
40768	O75533
2777	Q14194
56896	Q5VTE0
27544	Q86UQ4
23318	P63096
58053	P00390
57799	Q8WUA8
